设备型号,安装时间,厂家,损坏时间,设计寿命,损坏时的天气,安装地点,运维班,损坏性质
电源DC220,2015-01-28,上海惠安,2018-08-05,4,大雨,somewhere,维修班4,电压互感器二次回路故障
CPU板件,2013-05-27,深圳南瑞,2018-03-15,5,晴,somewhere,维修班2,老化
电源DC220,2019-06-01,深圳南瑞,2028-04-10,9,晴,somewhere,维修班1,0
CPU板件,2013-04-26,南瑞继保,2023-03-07,10,大雨,somewhere,维修班4,0
显示屏,2015-09-10,南瑞继保,2026-02-01,11,小雨,somewhere,维修班1,0
显示屏,2015-10-04,深圳南瑞,2030-03-31,15,雷阵雨,somewhere,维修班3,0
显示屏,2010-10-13,深圳南瑞,2014-07-21,4,阴,somewhere,维修班2,电压互感器二次回路故障
电源DC220,2012-05-04,南瑞科技,2015-12-30,4,雷阵雨,somewhere,维修班3,电流互感器二次回路故障
显示屏,2016-09-06,南瑞科技,2029-06-24,13,大雨,somewhere,维修班2,0
显示屏,2018-10-17,国电南自,2030-02-23,12,阴,somewhere,维修班2,0
显示屏,2019-07-09,南瑞继保,2029-02-11,10,晴,somewhere,维修班4,0
CPU板件,2015-10-17,国电南自,2030-07-18,15,大雨,somewhere,维修班3,0
CPU板件,2017-04-12,上海惠安,2030-12-16,14,小雨,somewhere,维修班4,0
CPU板件,2010-01-01,南瑞继保,2012-10-04,3,晴,somewhere,维修班4,老化
电源DC220,2012-10-06,许继电气,2022-05-22,10,晴,somewhere,维修班3,0
显示屏,2015-01-09,上海惠安,2027-11-07,13,大雨,somewhere,维修班3,0
电源DC220,2013-04-01,上海惠安,2026-04-21,14,小雨,somewhere,维修班3,0
电源DC220,2013-12-22,南瑞科技,2026-10-03,13,阴,somewhere,维修班4,0
CPU板件,2016-03-14,上海惠安,2027-12-12,12,阴,somewhere,维修班1,0
显示屏,2012-12-04,许继电气,2024-06-01,12,雷阵雨,somewhere,维修班1,0
CPU板件,2012-10-14,南瑞科技,2020-05-21,8,冰雹,somewhere,维修班1,电压互感器二次回路故障
显示屏,2018-06-26,上海惠安,2030-11-21,13,冰雹,somewhere,维修班2,0
电源DC220,2020-02-26,许继电气,2032-10-02,13,晴,somewhere,维修班2,0
电源DC220,2019-10-13,深圳南瑞,2027-05-07,8,雷阵雨,somewhere,维修班2,0
显示屏,2018-03-05,南瑞科技,2025-09-17,8,阴,somewhere,维修班1,0
CPU板件,2016-11-28,国电南自,2029-09-09,13,阴,somewhere,维修班1,0
CPU板件,2016-04-19,深圳南瑞,2027-01-23,11,冰雹,somewhere,维修班2,0
显示屏,2017-05-26,南瑞继保,2019-11-09,3,冰雹,somewhere,维修班1,电压互感器二次回路故障
显示屏,2013-09-14,南瑞继保,2027-06-11,14,小雨,somewhere,维修班2,0
显示屏,2014-01-04,上海惠安,2024-08-22,11,大雨,somewhere,维修班4,0
电源DC220,2014-07-26,南瑞继保,2027-06-11,13,大雨,somewhere,维修班4,0
电源DC220,2012-06-29,国电南自,2027-04-14,15,雷阵雨,somewhere,维修班3,0
显示屏,2020-04-09,国电南自,2032-02-04,12,小雨,somewhere,维修班1,0
电源DC220,2011-11-17,上海惠安,2026-09-22,15,晴,somewhere,维修班3,0
CPU板件,2015-06-22,南瑞科技,2026-04-19,11,雷阵雨,somewhere,维修班2,0
CPU板件,2012-12-07,上海惠安,2015-06-19,3,雷阵雨,somewhere,维修班3,保护装置故障
电源DC220,2015-04-04,许继电气,2020-08-17,6,小雨,somewhere,维修班3,直流接地
CPU板件,2013-01-21,南瑞科技,2020-10-20,8,冰雹,somewhere,维修班2,直流接地
显示屏,2016-09-30,南瑞继保,2025-05-08,9,雷阵雨,somewhere,维修班2,0
显示屏,2020-07-01,上海惠安,2031-04-22,11,阴,somewhere,维修班1,0
CPU板件,2014-05-18,深圳南瑞,2022-02-27,8,晴,somewhere,维修班2,0
显示屏,2018-01-10,上海惠安,2025-08-21,8,冰雹,somewhere,维修班1,0
电源DC220,2014-08-02,深圳南瑞,2029-03-07,15,晴,somewhere,维修班2,0
电源DC220,2020-09-07,国电南自,2034-07-14,14,大雨,somewhere,维修班3,0
显示屏,2015-05-12,国电南自,2024-01-27,9,晴,somewhere,维修班1,0
显示屏,2020-12-16,国电南自,2028-07-25,8,雷阵雨,somewhere,维修班4,0
CPU板件,2017-06-01,南瑞科技,2023-10-05,7,冰雹,somewhere,维修班4,0
显示屏,2013-05-01,上海惠安,2017-01-17,4,阴,somewhere,维修班3,老化
CPU板件,2015-11-05,深圳南瑞,2021-08-11,6,大雨,somewhere,维修班4,0
电源DC220,2019-09-19,南瑞科技,2022-03-09,3,大雨,somewhere,维修班1,0
CPU板件,2016-10-30,南瑞科技,2026-08-27,10,小雨,somewhere,维修班4,0
CPU板件,2010-09-05,南瑞继保,2024-05-12,14,小雨,somewhere,维修班2,0
显示屏,2011-05-19,深圳南瑞,2015-03-21,4,冰雹,somewhere,维修班1,继电器触点故障
显示屏,2020-02-18,南瑞科技,2024-12-31,5,晴,somewhere,维修班2,0
显示屏,2013-08-27,许继电气,2022-05-11,9,晴,somewhere,维修班2,0
显示屏,2010-04-19,南瑞科技,2013-01-30,3,冰雹,somewhere,维修班3,老化
电源DC220,2020-12-28,国电南自,2034-10-31,14,小雨,somewhere,维修班1,0
CPU板件,2019-04-25,上海惠安,2033-09-07,15,冰雹,somewhere,维修班2,0
显示屏,2020-07-06,国电南自,2023-05-17,3,雷阵雨,somewhere,维修班1,0
CPU板件,2010-09-28,上海惠安,2019-07-29,9,冰雹,somewhere,维修班3,开关设备故障
电源DC220,2015-12-31,深圳南瑞,2028-09-01,13,雷阵雨,somewhere,维修班3,0
CPU板件,2020-09-28,上海惠安,2030-07-07,10,大雨,somewhere,维修班1,0
显示屏,2013-11-28,深圳南瑞,2025-08-12,12,晴,somewhere,维修班1,0
电源DC220,2019-12-26,南瑞科技,2033-10-15,14,晴,somewhere,维修班1,0
显示屏,2015-08-26,南瑞继保,2018-03-21,3,雷阵雨,somewhere,维修班3,直流接地
CPU板件,2014-10-23,上海惠安,2028-08-02,14,阴,somewhere,维修班3,0
电源DC220,2016-04-14,上海惠安,2023-01-29,7,冰雹,somewhere,维修班4,0
电源DC220,2015-02-22,南瑞科技,2028-01-08,14,雷阵雨,somewhere,维修班4,0
电源DC220,2016-11-07,南瑞继保,2024-08-08,8,晴,somewhere,维修班4,0
电源DC220,2012-06-17,南瑞科技,2022-02-26,10,小雨,somewhere,维修班3,0
显示屏,2018-01-30,南瑞科技,2026-10-23,9,晴,somewhere,维修班4,0
CPU板件,2011-03-11,国电南自,2022-01-11,11,阴,somewhere,维修班2,0
显示屏,2019-09-03,深圳南瑞,2033-05-22,14,大雨,somewhere,维修班2,0
电源DC220,2015-11-05,南瑞科技,2018-07-21,3,冰雹,somewhere,维修班4,直流接地
显示屏,2011-04-21,南瑞继保,2014-02-05,3,雷阵雨,somewhere,维修班2,电流互感器二次回路故障
显示屏,2014-03-14,深圳南瑞,2027-12-21,14,雷阵雨,somewhere,维修班2,0
CPU板件,2017-01-06,国电南自,2027-10-06,11,大雨,somewhere,维修班3,0
显示屏,2018-12-17,南瑞继保,2024-10-17,6,小雨,somewhere,维修班2,0
电源DC220,2013-04-05,南瑞继保,2027-02-10,14,冰雹,somewhere,维修班1,0
显示屏,2017-10-05,许继电气,2024-08-22,7,冰雹,somewhere,维修班4,0
显示屏,2014-10-12,许继电气,2028-07-21,14,大雨,somewhere,维修班3,0
电源DC220,2017-11-19,南瑞继保,2028-08-06,11,阴,somewhere,维修班1,0
CPU板件,2012-04-04,国电南自,2024-01-13,12,晴,somewhere,维修班2,0
CPU板件,2019-03-26,南瑞科技,2031-12-12,13,阴,somewhere,维修班1,0
电源DC220,2016-09-15,深圳南瑞,2021-07-04,5,冰雹,somewhere,维修班3,0
显示屏,2012-06-02,南瑞继保,2018-02-24,6,晴,somewhere,维修班4,电流互感器二次回路故障
显示屏,2020-05-13,许继电气,2026-02-04,6,冰雹,somewhere,维修班1,0
电源DC220,2016-12-26,国电南自,2029-09-15,13,小雨,somewhere,维修班1,0
CPU板件,2014-01-31,上海惠安,2027-10-27,14,阴,somewhere,维修班4,0
电源DC220,2016-12-22,国电南自,2027-11-08,11,晴,somewhere,维修班4,0
显示屏,2019-10-17,深圳南瑞,2026-08-08,7,大雨,somewhere,维修班1,0
电源DC220,2010-07-30,南瑞科技,2017-05-04,7,冰雹,somewhere,维修班3,电流互感器二次回路故障
电源DC220,2015-01-27,南瑞科技,2029-11-05,15,冰雹,somewhere,维修班3,0
电源DC220,2012-11-28,南瑞科技,2025-10-19,13,冰雹,somewhere,维修班4,0
电源DC220,2010-10-16,国电南自,2020-04-17,10,阴,somewhere,维修班4,老化
CPU板件,2020-11-23,南瑞继保,2023-09-14,3,小雨,somewhere,维修班1,0
电源DC220,2018-07-05,国电南自,2033-02-15,15,大雨,somewhere,维修班3,0
CPU板件,2012-10-06,上海惠安,2027-07-23,15,大雨,somewhere,维修班4,0
CPU板件,2017-12-06,上海惠安,2024-06-14,7,大雨,somewhere,维修班4,0
电源DC220,2014-07-05,许继电气,2019-11-22,6,晴,somewhere,维修班2,老化
显示屏,2017-01-30,南瑞科技,2029-09-22,13,晴,somewhere,维修班4,0
CPU板件,2016-08-12,深圳南瑞,2025-05-27,9,大雨,somewhere,维修班2,0
电源DC220,2011-03-13,深圳南瑞,2024-12-11,14,小雨,somewhere,维修班4,0
显示屏,2020-12-15,上海惠安,2024-10-03,4,冰雹,somewhere,维修班2,0
显示屏,2019-08-07,深圳南瑞,2027-06-20,8,阴,somewhere,维修班1,0
CPU板件,2020-10-11,深圳南瑞,2026-07-20,6,雷阵雨,somewhere,维修班3,0
显示屏,2018-01-05,南瑞科技,2024-10-18,7,雷阵雨,somewhere,维修班2,0
电源DC220,2016-08-01,深圳南瑞,2019-06-06,3,雷阵雨,somewhere,维修班1,继电器触点故障
显示屏,2017-03-27,许继电气,2021-12-15,5,冰雹,somewhere,维修班2,0
电源DC220,2015-09-26,南瑞科技,2023-04-28,8,大雨,somewhere,维修班2,0
显示屏,2011-07-14,深圳南瑞,2026-03-17,15,冰雹,somewhere,维修班2,0
电源DC220,2011-12-11,许继电气,2026-09-14,15,晴,somewhere,维修班1,0
CPU板件,2018-03-26,上海惠安,2030-11-25,13,晴,somewhere,维修班3,0
显示屏,2013-08-22,上海惠安,2021-02-21,8,小雨,somewhere,维修班4,老化
电源DC220,2010-09-06,国电南自,2014-07-16,4,冰雹,somewhere,维修班4,直流接地
电源DC220,2016-10-09,许继电气,2019-08-15,3,雷阵雨,somewhere,维修班1,电流互感器二次回路故障
电源DC220,2011-02-11,国电南自,2022-10-05,12,晴,somewhere,维修班1,0
电源DC220,2014-08-30,深圳南瑞,2019-07-13,5,小雨,somewhere,维修班2,老化
显示屏,2012-11-27,南瑞继保,2015-09-28,3,小雨,somewhere,维修班2,继电器触点故障
电源DC220,2020-04-04,许继电气,2028-01-17,8,阴,somewhere,维修班2,0
CPU板件,2019-06-01,南瑞继保,2023-10-27,5,冰雹,somewhere,维修班1,0
显示屏,2020-06-10,深圳南瑞,2029-01-12,9,大雨,somewhere,维修班4,0
CPU板件,2012-04-06,南瑞继保,2020-11-02,10,阴,somewhere,维修班3,电流互感器二次回路故障
CPU板件,2019-01-14,许继电气,2028-05-15,10,雷阵雨,somewhere,维修班1,0
CPU板件,2016-01-23,深圳南瑞,2018-09-23,3,晴,somewhere,维修班1,保护装置故障
电源DC220,2018-08-29,上海惠安,2028-06-10,10,阴,somewhere,维修班2,0
CPU板件,2015-01-26,南瑞科技,2023-09-19,9,晴,somewhere,维修班4,0
电源DC220,2018-09-05,许继电气,2022-01-16,4,雷阵雨,somewhere,维修班3,0
显示屏,2020-05-30,深圳南瑞,2031-02-12,11,晴,somewhere,维修班2,0
CPU板件,2019-05-12,南瑞科技,2024-02-02,5,雷阵雨,somewhere,维修班4,0
电源DC220,2017-02-03,国电南自,2028-11-15,12,雷阵雨,somewhere,维修班3,0
显示屏,2015-08-30,南瑞科技,2019-05-23,4,冰雹,somewhere,维修班1,开关设备故障
显示屏,2017-05-28,深圳南瑞,2022-09-12,6,冰雹,somewhere,维修班2,0
电源DC220,2017-08-08,南瑞继保,2022-03-16,5,雷阵雨,somewhere,维修班4,0
CPU板件,2014-10-14,南瑞科技,2022-07-11,8,冰雹,somewhere,维修班4,0
电源DC220,2014-06-21,国电南自,2018-03-15,4,冰雹,somewhere,维修班1,老化
电源DC220,2016-06-15,南瑞科技,2024-04-16,8,雷阵雨,somewhere,维修班4,0
CPU板件,2019-01-18,国电南自,2023-11-28,5,冰雹,somewhere,维修班2,0
电源DC220,2013-06-15,南瑞继保,2018-02-22,5,阴,somewhere,维修班3,电压互感器二次回路故障
电源DC220,2012-10-02,上海惠安,2024-06-23,12,大雨,somewhere,维修班2,0
CPU板件,2018-03-08,南瑞科技,2027-12-27,10,大雨,somewhere,维修班4,0
电源DC220,2014-07-21,南瑞继保,2025-02-12,11,阴,somewhere,维修班2,0
CPU板件,2016-11-03,深圳南瑞,2023-07-14,7,阴,somewhere,维修班1,0
显示屏,2011-10-12,上海惠安,2020-09-03,9,大雨,somewhere,维修班1,直流接地
显示屏,2019-01-20,许继电气,2027-09-20,9,晴,somewhere,维修班2,0
显示屏,2011-11-10,深圳南瑞,2015-08-25,4,冰雹,somewhere,维修班1,开关设备故障
CPU板件,2017-08-03,南瑞科技,2029-05-29,12,冰雹,somewhere,维修班1,0
显示屏,2010-02-27,南瑞继保,2014-01-14,4,冰雹,somewhere,维修班1,老化
CPU板件,2016-10-26,南瑞继保,2028-08-31,12,阴,somewhere,维修班4,0
显示屏,2010-12-13,许继电气,2016-06-27,6,阴,somewhere,维修班2,继电器触点故障
显示屏,2018-12-20,南瑞继保,2025-08-07,7,大雨,somewhere,维修班1,0
CPU板件,2020-06-04,南瑞继保,2032-03-10,12,小雨,somewhere,维修班4,0
电源DC220,2019-09-21,许继电气,2031-05-12,12,冰雹,somewhere,维修班1,0
电源DC220,2014-05-01,深圳南瑞,2021-10-21,8,冰雹,somewhere,维修班3,0
显示屏,2012-03-25,上海惠安,2022-12-26,11,小雨,somewhere,维修班4,0
电源DC220,2013-09-04,国电南自,2016-07-05,3,阴,somewhere,维修班3,电压互感器二次回路故障
电源DC220,2015-04-29,深圳南瑞,2022-02-19,7,雷阵雨,somewhere,维修班1,0
CPU板件,2020-06-14,许继电气,2023-05-03,3,晴,somewhere,维修班2,0
显示屏,2018-11-22,南瑞继保,2033-05-25,15,大雨,somewhere,维修班2,0
显示屏,2011-01-24,上海惠安,2015-10-02,5,雷阵雨,somewhere,维修班1,直流接地
CPU板件,2014-01-01,南瑞科技,2017-09-25,4,雷阵雨,somewhere,维修班2,继电器触点故障
CPU板件,2011-10-05,南瑞继保,2024-10-20,14,小雨,somewhere,维修班4,0
显示屏,2012-08-10,南瑞科技,2015-03-25,3,雷阵雨,somewhere,维修班4,直流接地
电源DC220,2019-10-24,南瑞继保,2026-02-19,7,小雨,somewhere,维修班4,0
CPU板件,2015-05-02,南瑞科技,2018-07-08,4,阴,somewhere,维修班3,电压互感器二次回路故障
显示屏,2010-10-15,上海惠安,2019-08-09,9,大雨,somewhere,维修班1,电流互感器二次回路故障
电源DC220,2018-05-23,南瑞继保,2025-01-14,7,冰雹,somewhere,维修班3,0
CPU板件,2011-01-20,许继电气,2025-09-25,15,大雨,somewhere,维修班1,0
CPU板件,2018-05-13,南瑞继保,2027-12-31,10,阴,somewhere,维修班3,0
电源DC220,2011-04-13,深圳南瑞,2023-12-26,13,小雨,somewhere,维修班2,0
显示屏,2015-05-02,国电南自,2027-01-31,12,雷阵雨,somewhere,维修班4,0
电源DC220,2016-05-21,南瑞继保,2030-12-13,15,冰雹,somewhere,维修班3,0
电源DC220,2011-04-10,国电南自,2014-09-26,4,冰雹,somewhere,维修班2,开关设备故障
显示屏,2013-06-10,深圳南瑞,2015-10-21,3,晴,somewhere,维修班2,保护装置故障
电源DC220,2018-06-25,上海惠安,2021-03-15,4,雷阵雨,somewhere,维修班1,电流互感器二次回路故障
CPU板件,2013-01-11,国电南自,2023-10-13,11,小雨,somewhere,维修班3,0
CPU板件,2010-03-19,国电南自,2022-12-22,13,大雨,somewhere,维修班4,0
电源DC220,2010-12-29,南瑞继保,2013-10-25,3,冰雹,somewhere,维修班2,继电器触点故障
电源DC220,2017-05-23,许继电气,2019-09-27,3,阴,somewhere,维修班1,开关设备故障
CPU板件,2019-08-01,许继电气,2021-07-26,3,冰雹,somewhere,维修班3,0
显示屏,2019-10-01,上海惠安,2023-04-26,4,雷阵雨,somewhere,维修班3,0
电源DC220,2017-05-18,南瑞继保,2029-01-20,12,雷阵雨,somewhere,维修班1,0
电源DC220,2014-12-27,许继电气,2029-10-15,15,阴,somewhere,维修班3,0
CPU板件,2011-04-07,深圳南瑞,2015-02-20,4,大雨,somewhere,维修班4,保护装置故障
CPU板件,2019-12-02,许继电气,2025-09-12,6,小雨,somewhere,维修班1,0
显示屏,2014-09-18,许继电气,2027-04-12,13,阴,somewhere,维修班3,0
CPU板件,2012-06-18,国电南自,2025-01-12,13,晴,somewhere,维修班4,0
显示屏,2017-05-07,上海惠安,2029-02-24,12,雷阵雨,somewhere,维修班4,0
CPU板件,2012-01-06,南瑞继保,2014-09-03,3,冰雹,somewhere,维修班1,开关设备故障
CPU板件,2017-06-14,国电南自,2021-03-19,4,冰雹,somewhere,维修班4,直流接地
电源DC220,2012-08-14,南瑞继保,2022-02-11,10,晴,somewhere,维修班2,0
CPU板件,2016-01-17,南瑞科技,2028-11-24,13,小雨,somewhere,维修班2,0
电源DC220,2014-07-30,深圳南瑞,2024-05-19,10,冰雹,somewhere,维修班2,0
电源DC220,2011-06-15,南瑞继保,2014-04-04,3,雷阵雨,somewhere,维修班1,电压互感器二次回路故障
CPU板件,2017-05-10,国电南自,2021-02-24,4,晴,somewhere,维修班3,保护装置故障
CPU板件,2019-07-29,南瑞继保,2025-06-15,6,小雨,somewhere,维修班3,0
CPU板件,2011-04-26,深圳南瑞,2020-01-28,9,小雨,somewhere,维修班1,老化
电源DC220,2020-04-14,南瑞继保,2031-10-29,12,晴,somewhere,维修班4,0
CPU板件,2020-09-19,南瑞科技,2031-06-09,11,冰雹,somewhere,维修班4,0
电源DC220,2016-10-10,深圳南瑞,2022-06-08,6,冰雹,somewhere,维修班3,0
CPU板件,2012-06-06,深圳南瑞,2022-04-07,10,小雨,somewhere,维修班2,0
电源DC220,2015-03-22,上海惠安,2024-02-01,9,小雨,somewhere,维修班1,0
CPU板件,2011-05-04,国电南自,2024-02-23,13,晴,somewhere,维修班2,0
CPU板件,2012-10-10,国电南自,2016-05-10,4,雷阵雨,somewhere,维修班3,老化
CPU板件,2020-06-20,上海惠安,2030-03-23,10,冰雹,somewhere,维修班4,0
CPU板件,2020-09-24,国电南自,2030-06-22,10,小雨,somewhere,维修班1,0
电源DC220,2013-01-25,许继电气,2026-06-12,14,小雨,somewhere,维修班1,0
CPU板件,2011-04-25,上海惠安,2019-01-06,8,冰雹,somewhere,维修班4,老化
CPU板件,2010-04-12,上海惠安,2020-12-14,11,大雨,somewhere,维修班2,直流接地
电源DC220,2011-01-15,上海惠安,2017-11-15,7,阴,somewhere,维修班1,电压互感器二次回路故障
显示屏,2012-09-30,深圳南瑞,2025-07-17,13,雷阵雨,somewhere,维修班2,0
电源DC220,2020-04-09,南瑞科技,2031-11-14,12,雷阵雨,somewhere,维修班1,0
显示屏,2018-01-04,上海惠安,2021-09-04,4,晴,somewhere,维修班2,0
电源DC220,2013-03-10,南瑞科技,2016-11-15,4,晴,somewhere,维修班4,直流接地
电源DC220,2013-10-18,许继电气,2024-07-31,11,晴,somewhere,维修班2,0
CPU板件,2019-03-25,许继电气,2022-11-18,4,雷阵雨,somewhere,维修班3,0
CPU板件,2014-12-22,南瑞科技,2017-08-15,3,雷阵雨,somewhere,维修班2,开关设备故障
CPU板件,2011-07-05,深圳南瑞,2017-05-02,6,小雨,somewhere,维修班1,直流接地
电源DC220,2012-07-21,许继电气,2023-06-01,11,阴,somewhere,维修班1,0
电源DC220,2018-07-28,南瑞科技,2021-03-19,3,雷阵雨,somewhere,维修班1,直流接地
电源DC220,2016-03-09,南瑞科技,2025-12-28,10,雷阵雨,somewhere,维修班3,0
显示屏,2011-03-10,南瑞继保,2022-12-13,12,冰雹,somewhere,维修班3,0
CPU板件,2020-08-21,南瑞继保,2025-01-27,5,阴,somewhere,维修班3,0
CPU板件,2019-07-08,深圳南瑞,2025-04-03,6,阴,somewhere,维修班2,0
电源DC220,2014-03-20,南瑞继保,2018-01-04,4,雷阵雨,somewhere,维修班3,老化
CPU板件,2011-11-20,南瑞继保,2020-05-04,9,大雨,somewhere,维修班1,电压互感器二次回路故障
CPU板件,2016-01-08,南瑞科技,2026-06-04,11,大雨,somewhere,维修班4,0
CPU板件,2019-10-03,南瑞继保,2032-05-10,13,大雨,somewhere,维修班4,0
电源DC220,2010-01-16,许继电气,2021-11-25,12,大雨,somewhere,维修班3,0
显示屏,2013-01-17,南瑞科技,2015-10-06,3,晴,somewhere,维修班4,继电器触点故障
CPU板件,2011-01-30,许继电气,2024-09-26,14,小雨,somewhere,维修班4,0
CPU板件,2015-07-30,许继电气,2024-01-17,9,晴,somewhere,维修班1,0
电源DC220,2010-12-10,南瑞科技,2013-09-19,3,阴,somewhere,维修班4,直流接地
电源DC220,2016-11-03,上海惠安,2029-08-14,13,冰雹,somewhere,维修班2,0
CPU板件,2014-05-18,许继电气,2016-09-03,3,雷阵雨,somewhere,维修班1,直流接地
电源DC220,2014-05-20,南瑞科技,2025-09-30,12,晴,somewhere,维修班1,0
电源DC220,2019-01-12,南瑞科技,2033-10-14,15,冰雹,somewhere,维修班2,0
显示屏,2019-01-26,许继电气,2032-11-08,14,冰雹,somewhere,维修班2,0
显示屏,2020-02-05,国电南自,2028-11-18,9,冰雹,somewhere,维修班1,0
CPU板件,2019-09-10,南瑞科技,2032-05-24,13,雷阵雨,somewhere,维修班1,0
显示屏,2014-05-06,南瑞科技,2019-02-27,5,晴,somewhere,维修班1,老化
电源DC220,2017-10-23,南瑞继保,2024-04-28,7,雷阵雨,somewhere,维修班4,0
电源DC220,2018-03-02,深圳南瑞,2020-07-05,3,冰雹,somewhere,维修班4,继电器触点故障
CPU板件,2018-12-28,许继电气,2024-08-14,6,晴,somewhere,维修班2,0
显示屏,2010-06-07,国电南自,2021-02-20,11,雷阵雨,somewhere,维修班4,直流接地
电源DC220,2020-11-22,深圳南瑞,2031-09-03,11,晴,somewhere,维修班2,0
显示屏,2018-07-13,上海惠安,2021-05-02,3,雷阵雨,somewhere,维修班3,电流互感器二次回路故障
电源DC220,2020-07-06,国电南自,2024-01-06,4,阴,somewhere,维修班4,0
电源DC220,2015-02-04,许继电气,2022-11-19,8,晴,somewhere,维修班4,0
电源DC220,2016-12-08,许继电气,2029-10-04,13,大雨,somewhere,维修班4,0
CPU板件,2020-08-03,许继电气,2028-06-01,8,大雨,somewhere,维修班3,0
CPU板件,2014-12-03,南瑞继保,2029-08-19,15,阴,somewhere,维修班4,0
CPU板件,2013-11-08,上海惠安,2015-12-16,3,小雨,somewhere,维修班1,老化
显示屏,2012-04-26,国电南自,2021-07-18,10,大雨,somewhere,维修班3,0
电源DC220,2012-09-01,深圳南瑞,2021-06-12,9,小雨,somewhere,维修班4,0
CPU板件,2011-07-11,南瑞科技,2024-03-16,13,冰雹,somewhere,维修班1,0
CPU板件,2012-11-16,国电南自,2017-09-06,5,冰雹,somewhere,维修班1,电流互感器二次回路故障
CPU板件,2014-03-25,深圳南瑞,2016-12-25,3,雷阵雨,somewhere,维修班1,保护装置故障
CPU板件,2014-02-01,南瑞继保,2020-11-21,7,晴,somewhere,维修班1,继电器触点故障
CPU板件,2013-10-05,南瑞科技,2016-08-12,3,小雨,somewhere,维修班3,老化
显示屏,2013-06-10,南瑞继保,2019-01-16,6,大雨,somewhere,维修班3,直流接地
CPU板件,2017-04-30,南瑞科技,2028-02-06,11,晴,somewhere,维修班2,0
电源DC220,2020-01-24,南瑞科技,2026-11-25,7,雷阵雨,somewhere,维修班1,0
显示屏,2013-06-16,深圳南瑞,2021-03-15,8,大雨,somewhere,维修班1,继电器触点故障
CPU板件,2017-04-04,南瑞科技,2029-12-23,13,阴,somewhere,维修班2,0
显示屏,2011-09-19,深圳南瑞,2023-06-26,12,大雨,somewhere,维修班3,0
显示屏,2012-12-03,许继电气,2020-08-18,8,雷阵雨,somewhere,维修班4,继电器触点故障
显示屏,2019-07-11,南瑞继保,2030-04-02,11,小雨,somewhere,维修班4,0
CPU板件,2018-05-21,南瑞科技,2028-02-14,10,雷阵雨,somewhere,维修班3,0
CPU板件,2018-08-05,国电南自,2031-06-04,13,小雨,somewhere,维修班3,0
显示屏,2017-01-10,许继电气,2019-10-25,3,雷阵雨,somewhere,维修班1,电压互感器二次回路故障
显示屏,2016-01-07,南瑞科技,2020-09-18,5,大雨,somewhere,维修班3,老化
显示屏,2010-05-10,上海惠安,2014-03-07,4,大雨,somewhere,维修班4,开关设备故障
CPU板件,2019-01-18,国电南自,2022-08-28,4,晴,somewhere,维修班3,0
电源DC220,2017-06-04,南瑞继保,2025-10-18,9,阴,somewhere,维修班1,0
电源DC220,2012-09-22,许继电气,2020-07-16,8,晴,somewhere,维修班1,继电器触点故障
电源DC220,2011-11-07,南瑞继保,2018-04-29,7,晴,somewhere,维修班3,直流接地
电源DC220,2011-04-26,许继电气,2017-08-23,7,晴,somewhere,维修班3,老化
显示屏,2014-06-10,许继电气,2027-01-29,13,冰雹,somewhere,维修班4,0
显示屏,2013-03-10,深圳南瑞,2017-11-01,5,雷阵雨,somewhere,维修班1,开关设备故障
电源DC220,2020-01-08,南瑞科技,2028-11-07,9,晴,somewhere,维修班4,0
CPU板件,2013-10-24,许继电气,2022-04-28,9,晴,somewhere,维修班4,0
CPU板件,2015-03-17,南瑞科技,2028-06-07,14,雷阵雨,somewhere,维修班1,0
电源DC220,2015-05-29,许继电气,2029-02-22,14,冰雹,somewhere,维修班2,0
显示屏,2012-01-08,许继电气,2025-06-13,14,小雨,somewhere,维修班3,0
CPU板件,2010-05-13,深圳南瑞,2023-03-12,13,阴,somewhere,维修班2,0
CPU板件,2013-02-13,深圳南瑞,2020-12-06,8,小雨,somewhere,维修班4,保护装置故障
电源DC220,2012-10-01,南瑞继保,2026-02-25,14,雷阵雨,somewhere,维修班3,0
CPU板件,2012-09-18,上海惠安,2025-07-09,13,阴,somewhere,维修班2,0
CPU板件,2018-11-06,上海惠安,2031-06-24,13,阴,somewhere,维修班1,0
显示屏,2018-05-24,上海惠安,2026-01-24,8,冰雹,somewhere,维修班2,0
显示屏,2011-03-16,南瑞科技,2014-10-13,4,大雨,somewhere,维修班4,老化
电源DC220,2016-04-25,南瑞科技,2022-10-11,7,小雨,somewhere,维修班3,0
CPU板件,2019-08-11,上海惠安,2027-05-02,8,阴,somewhere,维修班2,0
显示屏,2013-06-06,许继电气,2028-04-17,15,小雨,somewhere,维修班3,0
电源DC220,2019-03-21,南瑞科技,2029-12-22,11,阴,somewhere,维修班3,0
显示屏,2013-05-28,深圳南瑞,2024-11-24,12,雷阵雨,somewhere,维修班4,0
电源DC220,2020-10-03,南瑞科技,2025-06-03,5,小雨,somewhere,维修班1,0
CPU板件,2019-01-01,深圳南瑞,2021-08-18,3,大雨,somewhere,维修班4,0
显示屏,2014-04-14,许继电气,2022-12-09,9,阴,somewhere,维修班3,0
显示屏,2014-02-11,南瑞科技,2023-12-19,10,冰雹,somewhere,维修班2,0
CPU板件,2011-06-20,许继电气,2026-03-27,15,阴,somewhere,维修班3,0
电源DC220,2018-10-26,南瑞科技,2028-07-10,10,晴,somewhere,维修班4,0
